Fp1-LE_alpha,F3-LE_alpha,C3-LE_alpha,P3-LE_alpha,O1-LE_alpha,F7-LE_alpha,T3-LE_alpha,T5-LE_alpha,Fz-LE_alpha,Fp2-LE_alpha,F4-LE_alpha,C4-LE_alpha,P4-LE_alpha,O2-LE_alpha,F8-LE_alpha,T4-LE_alpha,T6-LE_alpha,Cz-LE_alpha,Pz-LE_alpha,A2-A1_alpha,class
15.31,22.24,53.2,69.76,49.23,12.38,18.48,34.85,21.79,14.2,17.76,17.74,51.58,62.12,11.92,7.19,37.15,28.32,69.33,14.82,0
8.5,12.4,14.71,22.94,19.52,7.71,9.12,12.87,14.66,7.93,12.08,10.78,18.9,20.43,8.88,4.5,9.75,15.88,24.94,10.88,0
11.58,14.24,48.31,105.76,58.61,8.18,17.96,45.19,18.18,13.38,17.28,26.47,64.93,46.02,11.19,8.2,20.3,31.92,111.22,10.41,0
11.02,14.18,25.06,50.08,24.9,6.73,11.02,29.22,19.22,12.08,19.15,13.74,34.38,36.67,9.57,5.46,19.71,18.95,42.97,10.45,0
11.86,21.36,58.06,80.45,40.33,10.82,20.56,47.35,22.91,11.98,20.59,30.12,60.4,55.37,11.93,9.68,31.86,39.07,81.77,13.26,0
21.05,20.26,47.41,99.95,66.21,13.26,10.52,54.76,26.89,20.95,25.39,47.04,87.49,81.05,18.43,13.81,45.81,41.72,103.55,12.66,0
11.66,14.48,35.07,40.86,21.48,8.56,14.81,24.98,16.87,10.75,16.41,17.61,31.05,25.46,9.62,7.6,11.46,25.09,41.49,12.04,0
12.06,13.03,18.5,49.18,30.92,7.98,9.33,32.91,16.47,13.01,14.7,14.99,36.29,31.43,9.08,7.11,19.99,18.87,41.12,11.9,0
9.4,13.99,45.09,77.43,43.09,10.08,18.65,46.86,15.77,8.85,13.13,20.07,27.55,33.74,7.79,7.37,13.69,20.77,39.87,13.3,0
10.54,16.0,15.23,29.94,21.76,6.86,8.84,18.87,21.09,12.92,19.92,16.99,31.32,26.54,11.97,7.0,15.28,21.96,35.56,10.62,0
12.17,12.8,43.9,52.51,20.43,7.36,11.41,23.76,16.77,10.78,14.49,18.1,44.91,32.46,6.41,5.32,19.04,18.73,42.47,7.18,0
9.99,12.18,33.35,34.68,21.58,6.74,9.08,21.11,15.72,10.5,14.2,22.22,39.43,31.35,7.15,7.4,24.13,23.16,32.95,9.5,0
11.41,12.89,47.35,63.05,21.21,6.1,14.5,26.87,19.14,13.19,17.86,18.71,37.41,18.85,11.72,7.34,13.08,20.62,62.56,12.81,0
9.55,8.85,22.28,17.86,7.69,4.3,8.36,12.44,11.25,10.91,10.95,21.12,16.81,7.2,10.17,8.03,8.71,11.01,12.44,11.1,0
8.58,6.73,17.25,14.25,9.33,6.26,6.4,9.87,6.77,9.85,7.56,8.98,10.9,9.74,8.86,4.06,5.2,5.95,11.2,9.53,0
5.2,6.49,19.23,25.12,12.53,3.89,7.86,13.34,7.48,6.47,7.77,11.33,16.39,13.9,7.35,4.56,6.58,10.14,22.15,7.95,0
8.84,10.49,30.73,47.87,30.76,5.99,11.46,24.11,14.28,9.13,13.19,12.36,37.31,39.06,6.13,4.66,14.37,13.6,49.1,9.64,0
10.1,11.03,36.18,46.03,26.56,5.23,10.61,22.65,14.13,12.21,14.62,40.33,74.28,43.68,9.6,10.84,28.64,22.09,62.9,11.41,0
9.16,12.71,22.76,20.3,11.05,7.09,8.36,11.4,15.67,9.17,15.64,26.05,29.11,12.93,7.99,5.8,9.78,22.28,32.26,9.97,0
11.45,10.73,28.18,31.29,20.88,6.05,12.12,30.36,14.93,12.57,14.72,16.92,18.08,17.79,12.39,5.64,9.27,12.33,20.28,13.7,0
11.79,11.81,26.34,29.76,20.13,6.74,7.32,17.75,18.48,12.98,17.14,23.81,35.34,23.22,11.72,8.01,14.29,20.86,36.14,12.27,0
13.62,15.41,28.84,34.12,15.99,9.45,9.97,16.64,21.36,13.54,19.34,17.77,35.3,20.19,10.07,5.03,15.01,17.62,34.16,7.37,0
6.71,8.61,24.76,26.89,16.97,6.27,7.66,15.93,8.89,7.12,7.8,12.87,22.91,15.38,7.32,4.56,10.77,10.63,24.33,7.94,0
13.6,11.79,36.97,45.65,18.86,10.36,16.95,24.02,14.49,12.09,14.14,30.57,39.19,19.99,11.17,10.27,16.82,22.39,45.94,14.79,0
5.91,9.79,37.39,53.02,23.27,6.96,16.47,27.68,11.58,6.79,11.54,26.19,38.83,30.07,8.77,8.94,15.32,17.03,50.35,11.94,0
12.4,17.65,42.97,54.29,27.68,7.51,12.09,28.31,21.3,12.72,19.86,26.1,45.21,26.54,11.34,5.5,14.78,34.16,64.07,9.35,0
7.14,11.71,35.07,55.68,17.79,7.22,11.42,27.81,14.5,8.27,12.92,16.41,24.5,13.17,8.69,7.68,10.17,24.87,44.22,12.03,0
8.71,10.51,15.51,26.25,11.55,5.16,6.28,11.72,16.04,10.73,15.6,20.19,31.51,17.93,9.97,5.78,11.48,21.05,38.93,7.9,0
17.14,17.88,28.67,56.79,38.94,14.61,15.48,31.95,22.42,18.91,20.16,35.76,63.13,45.2,14.89,10.8,31.07,27.37,71.82,15.19,0
17.49,18.51,29.47,56.33,35.38,10.46,11.11,39.01,26.43,16.52,24.31,30.08,64.0,49.55,13.43,11.66,37.39,29.72,58.82,14.6,0
13.6,13.96,42.88,56.05,24.57,7.39,14.6,26.77,22.18,15.0,21.73,21.78,30.78,24.75,13.32,8.7,13.45,23.62,45.67,12.16,0
11.69,15.71,40.85,52.66,21.1,7.75,15.56,27.85,24.5,11.97,23.46,19.05,31.32,36.36,9.09,6.98,22.84,20.24,32.84,10.88,0
14.41,12.94,44.73,60.33,29.98,8.17,14.2,34.62,20.01,15.17,19.97,36.17,63.86,49.43,12.32,12.57,33.49,22.13,54.54,13.29,0
5.53,6.4,18.61,23.68,13.35,3.94,6.01,12.61,6.9,7.04,6.46,9.12,21.11,17.3,7.88,4.36,10.52,10.85,23.27,7.37,0
13.93,22.58,41.83,65.09,29.4,9.65,15.65,35.8,29.38,14.33,25.65,25.2,43.83,34.15,11.05,8.17,18.24,33.51,53.09,10.43,0
9.91,11.06,25.97,23.55,12.4,6.21,8.49,10.7,15.36,9.4,14.5,16.27,30.37,33.24,6.63,5.38,23.25,14.03,27.98,7.9,0
7.89,8.43,11.43,8.58,9.17,4.49,3.08,6.07,9.68,8.32,8.88,8.22,12.76,8.6,6.42,3.11,6.1,6.55,11.29,6.38,0
8.67,13.16,39.06,52.31,28.2,5.89,14.04,28.9,16.23,10.05,15.78,22.06,55.59,50.35,9.3,8.09,33.85,23.3,38.62,9.74,0
11.04,16.98,39.29,26.6,16.78,8.04,12.0,13.2,19.35,12.41,16.4,31.03,50.98,48.72,9.07,10.57,35.8,21.63,36.37,10.01,0
12.84,23.86,27.03,34.0,18.55,9.3,8.82,13.74,27.24,13.55,24.07,24.42,44.97,38.29,8.48,6.3,24.53,26.81,50.7,8.53,0
4.6,7.39,11.79,11.93,9.0,3.66,5.81,10.2,6.52,5.54,9.04,12.47,15.53,10.79,3.1,4.09,8.29,5.92,11.71,4.79,0
8.97,8.6,8.66,7.03,5.45,4.26,4.91,5.54,9.3,11.07,11.31,9.67,10.03,8.35,5.28,3.74,4.42,8.46,8.23,5.43,0
7.45,8.4,12.99,10.89,6.7,4.41,5.25,6.48,10.49,9.3,11.88,9.83,13.65,7.95,5.16,4.84,7.48,7.69,10.64,4.37,0
11.24,9.74,29.69,26.5,9.75,4.37,8.13,12.62,13.03,9.42,12.55,16.48,21.71,10.02,5.88,5.08,8.56,13.55,24.23,7.63,0
9.84,7.4,20.39,20.08,8.32,3.36,5.69,10.24,10.46,9.39,11.83,15.36,11.93,7.39,5.96,4.5,5.91,10.03,12.56,5.67,0
3.95,7.41,6.88,6.37,4.78,3.6,3.76,4.42,7.27,3.66,7.82,9.49,11.45,5.1,2.99,2.64,5.2,8.5,11.49,3.8,0
10.04,11.2,42.03,34.22,11.63,5.17,11.99,18.02,12.63,9.78,12.74,16.59,24.06,11.27,6.19,5.98,9.68,12.02,27.71,8.62,0
9.24,10.35,23.73,27.78,11.95,5.18,6.43,10.77,11.89,8.31,13.31,7.96,15.76,14.44,5.25,3.86,7.62,17.09,28.09,4.59,0
7.47,8.02,33.0,28.5,8.78,4.9,10.68,11.85,10.76,7.75,13.46,15.99,23.27,10.17,7.56,5.23,10.45,15.04,29.71,7.82,0
6.22,7.52,16.87,17.3,9.2,3.87,4.9,10.53,9.27,7.7,11.26,16.12,20.39,10.43,5.27,5.37,9.01,9.69,20.83,5.64,0
11.13,12.67,33.74,27.94,10.69,6.78,12.21,13.43,15.94,12.15,16.92,19.36,28.22,14.98,8.32,7.42,13.39,12.27,29.63,6.9,0
8.94,8.25,15.66,19.1,8.88,5.02,5.52,9.7,9.18,8.45,11.27,10.66,14.14,8.6,6.05,3.58,7.13,7.98,17.36,4.0,0
11.59,12.06,24.41,22.0,6.88,9.09,10.65,11.82,15.97,11.78,14.69,25.17,26.85,9.66,9.04,7.96,11.01,18.52,24.66,8.86,0
7.65,7.76,16.86,14.74,8.67,4.06,6.92,10.15,9.19,6.15,9.51,15.94,23.91,12.89,4.65,5.92,9.61,10.8,22.52,7.02,0
12.67,16.7,14.08,19.08,10.74,6.72,5.5,10.7,22.18,13.58,20.23,10.36,18.12,9.31,8.86,3.56,7.08,19.1,26.47,6.21,0
11.1,9.13,31.02,19.27,7.4,7.86,8.7,11.57,9.53,14.3,10.84,13.55,12.63,8.86,9.3,6.48,7.63,8.39,9.19,6.15,0
13.06,9.48,12.97,9.35,6.64,6.51,3.93,5.33,11.11,13.68,10.63,9.55,11.46,9.16,7.26,3.73,6.17,8.54,10.85,3.77,0
5.97,8.75,23.03,17.51,7.86,3.79,7.29,10.03,10.76,6.8,10.54,14.27,13.86,8.13,4.19,5.04,6.54,12.4,13.09,6.43,0
9.14,8.28,15.05,15.11,8.11,3.8,5.67,11.02,10.07,7.89,10.31,9.43,15.19,9.92,4.73,3.9,8.92,8.47,14.56,5.01,0
4.9,4.58,18.08,11.4,8.45,4.38,9.9,11.16,5.32,5.7,7.8,10.77,11.5,6.86,4.02,4.42,7.29,6.85,8.89,7.08,0
9.82,7.9,28.5,33.12,15.43,4.11,8.46,14.9,12.12,10.05,12.65,20.15,32.89,17.15,7.52,4.18,11.19,12.19,36.13,6.34,0
6.48,7.31,16.41,18.57,9.64,3.51,5.73,9.81,10.39,5.58,10.37,12.62,13.9,11.79,3.97,4.15,6.41,11.01,17.0,4.57,0
11.43,10.07,11.59,12.27,7.51,5.85,4.47,8.27,13.96,12.5,15.84,8.66,12.65,9.51,7.79,4.28,7.39,10.42,9.65,5.71,0
6.28,7.09,19.96,21.44,14.94,4.08,8.05,11.81,6.99,7.97,9.95,7.02,13.53,12.25,5.91,5.11,7.27,6.11,19.93,6.74,0
12.45,11.54,30.21,24.74,9.29,6.86,10.14,12.01,14.66,12.29,14.3,15.33,14.08,9.58,5.52,4.1,8.6,9.63,14.17,5.1,0
8.33,13.28,42.54,32.37,8.02,6.31,13.89,19.01,13.04,9.6,13.18,16.33,17.76,7.6,6.5,7.02,9.02,13.49,12.49,7.52,0
9.28,8.98,25.39,33.89,12.94,4.56,9.13,16.34,9.52,9.58,9.91,13.47,19.32,11.13,6.71,5.35,6.84,11.55,34.91,6.48,0
6.95,9.25,22.48,21.82,7.22,5.28,8.33,11.48,9.92,9.86,12.58,13.91,19.58,9.21,7.07,4.55,8.52,7.81,22.58,5.88,0
10.07,8.24,20.29,23.57,9.82,5.36,11.04,10.87,12.1,9.26,11.46,20.45,27.39,12.65,5.54,5.23,9.48,13.41,33.88,6.08,0
4.44,6.0,16.66,12.28,6.02,4.13,6.55,8.66,6.02,5.16,8.67,16.58,18.15,8.92,3.94,5.58,9.35,6.29,12.69,6.53,0
6.36,8.31,22.04,23.54,11.77,4.3,9.19,13.18,10.34,9.03,10.95,15.39,21.04,13.37,5.88,5.31,9.73,10.11,19.26,6.72,0
6.52,7.42,25.87,19.18,8.03,4.45,7.53,10.75,9.6,7.22,13.17,15.53,16.09,8.43,6.36,4.47,6.02,9.14,14.06,6.31,0
9.68,9.16,25.69,40.66,16.64,6.14,9.19,14.88,9.4,9.5,10.08,14.31,26.5,22.0,6.78,4.9,10.61,12.8,42.76,6.17,0
8.96,18.54,30.65,34.06,14.32,7.85,13.04,17.34,21.64,8.89,21.55,20.97,27.7,15.57,7.25,6.06,11.64,20.57,37.37,6.22,0
10.51,9.48,31.0,42.33,14.29,5.81,11.87,17.11,14.26,10.21,13.59,14.89,19.19,13.05,4.88,5.26,9.91,17.67,35.32,7.26,0
9.02,9.6,21.63,22.73,9.05,6.52,9.04,14.92,10.27,9.67,11.16,13.58,14.99,11.04,7.94,5.18,8.96,8.78,14.44,7.59,0
6.22,7.1,20.11,23.0,10.45,3.4,5.95,11.94,9.48,5.64,10.67,5.75,8.09,9.78,4.2,2.29,4.7,12.48,14.19,4.17,0
5.11,7.06,8.06,14.47,11.7,4.05,4.93,7.15,8.3,4.96,9.05,8.64,15.4,15.0,4.34,4.01,7.49,11.85,19.15,3.83,0
5.85,9.51,16.48,20.42,6.85,5.86,4.87,8.72,10.22,6.16,11.65,14.1,22.61,11.9,4.48,4.65,10.08,11.28,20.24,5.43,0
11.38,13.35,17.33,19.0,7.64,6.97,14.53,15.12,22.18,13.95,23.65,14.15,14.32,9.7,16.8,6.92,7.85,13.77,13.02,13.07,0
6.69,8.02,8.69,16.66,14.44,4.97,5.87,8.44,8.65,7.37,8.09,8.31,15.05,14.25,5.61,2.79,5.67,11.37,24.52,6.38,0
6.31,7.34,7.11,8.88,8.1,4.56,3.37,5.65,7.2,4.79,8.04,12.19,20.67,15.84,4.83,5.39,9.53,10.51,20.01,5.19,0
13.43,14.2,8.7,12.47,9.9,7.88,7.09,9.66,18.3,14.69,17.08,13.59,19.78,11.44,15.07,5.59,9.18,15.38,18.73,6.59,0
9.45,11.9,39.05,37.98,10.59,5.64,12.79,22.09,15.99,12.56,17.19,16.4,17.95,10.49,8.17,6.54,9.87,13.21,17.33,6.67,0
5.2,6.63,9.16,14.04,8.97,4.2,4.02,7.18,7.16,5.23,7.21,7.78,13.05,9.61,3.9,3.63,5.51,8.73,14.77,5.26,0
10.54,10.12,33.51,20.29,6.88,6.57,10.79,11.16,13.37,12.79,14.0,26.63,27.73,11.19,9.89,7.72,10.78,12.54,15.9,7.72,0
10.79,11.39,28.71,34.75,15.89,7.65,9.89,17.5,13.56,9.97,12.81,15.61,31.24,16.0,9.5,4.21,11.11,21.64,43.29,5.61,0
6.37,5.29,14.69,16.53,9.39,4.43,5.95,9.12,5.56,6.45,6.93,22.47,29.24,16.36,6.89,6.34,14.09,6.3,17.42,5.99,0
10.04,7.53,13.39,15.33,7.98,7.01,4.97,7.36,9.23,8.67,8.27,14.25,16.92,8.67,5.15,3.71,5.94,9.89,16.59,4.37,0
4.54,4.89,9.23,10.36,6.64,3.22,3.86,5.05,7.18,4.81,5.69,11.36,12.95,6.46,3.01,3.9,5.55,6.47,11.84,4.31,0
5.34,6.55,27.24,26.49,10.08,3.99,7.38,11.4,7.67,7.68,9.56,20.12,19.64,10.73,8.12,6.64,8.87,12.5,22.65,7.73,0
5.8,7.66,8.1,13.87,9.58,4.58,4.2,9.1,8.75,6.04,8.69,10.5,12.46,12.01,4.85,3.82,5.41,11.6,13.81,5.61,0
9.25,18.58,24.67,20.96,8.62,7.71,8.9,7.69,20.67,9.13,15.64,20.63,20.61,8.74,7.85,5.92,7.66,21.56,20.69,4.9,0
10.54,15.42,17.82,23.86,12.46,7.3,9.68,14.12,19.1,11.39,18.79,21.45,22.77,12.13,5.88,4.97,8.64,17.34,19.98,5.13,0
5.01,8.29,11.64,25.73,18.03,4.39,5.62,14.48,9.16,5.46,7.73,6.49,19.55,18.53,3.69,3.92,9.81,11.77,31.7,4.69,0
7.02,9.19,10.46,21.32,17.8,4.35,4.38,12.09,11.82,6.16,11.3,11.25,21.59,21.09,5.62,3.96,6.73,14.41,30.13,5.98,0
8.09,8.81,29.43,28.87,9.19,5.89,9.04,14.65,11.74,9.3,10.88,9.41,8.26,7.28,5.31,2.67,4.24,11.89,13.54,5.22,0
8.24,9.06,16.88,20.92,10.53,5.14,5.04,10.58,10.66,8.84,11.56,9.25,14.41,10.44,6.66,3.19,6.71,9.28,17.93,4.56,0
7.02,7.78,19.55,21.48,9.97,4.73,7.4,10.68,11.64,7.69,10.74,14.1,23.54,13.23,5.45,4.19,11.24,12.47,25.44,5.92,0
10.02,13.58,15.49,19.59,12.52,9.12,6.28,10.11,14.48,8.42,13.32,17.5,25.93,15.64,5.47,6.0,11.87,10.52,23.67,7.03,0
6.03,9.28,44.24,32.37,11.76,5.08,10.68,17.28,10.99,7.43,11.64,15.76,18.71,12.94,6.5,4.08,8.51,13.81,22.01,5.48,0
8.31,8.64,16.55,15.27,7.43,5.48,4.74,8.04,12.75,8.84,12.37,9.8,15.36,8.04,5.07,3.27,6.47,13.2,19.53,5.8,0
9.5,11.42,16.41,15.76,11.38,8.48,6.55,8.53,12.31,11.34,13.79,13.68,27.69,17.0,7.98,3.38,10.92,8.34,25.59,5.72,0
5.04,5.24,7.6,6.37,5.74,2.67,3.45,5.11,7.38,4.85,6.42,3.67,6.89,6.7,4.4,2.09,4.34,5.91,8.84,3.87,0
8.85,10.01,33.4,28.88,12.59,5.91,7.0,12.02,13.21,7.73,12.92,17.75,25.7,16.07,7.5,4.88,11.39,13.97,29.75,5.41,0
11.42,10.23,39.03,33.71,12.4,7.16,9.49,18.31,15.35,11.82,11.38,10.41,17.32,11.84,7.66,4.31,8.17,11.14,17.99,7.82,0
8.54,8.33,27.34,28.62,8.97,4.58,6.02,12.55,11.09,8.58,11.74,14.28,18.68,10.57,8.23,4.78,10.15,11.17,16.56,5.73,0
4.37,5.32,7.58,7.96,6.9,2.94,2.95,5.68,6.34,3.78,5.39,4.61,7.14,6.33,4.27,2.53,3.11,5.7,10.76,5.62,0
10.15,8.57,29.04,31.56,11.94,7.79,8.18,16.27,13.33,11.51,11.87,14.23,26.23,13.48,6.14,3.2,11.16,9.77,24.53,5.18,0
8.8,10.49,15.08,9.8,6.61,5.41,5.17,6.38,14.35,8.77,11.91,12.2,11.72,8.46,4.55,3.24,5.61,10.87,9.82,5.75,0
7.69,8.89,27.31,22.59,10.24,2.89,15.05,18.0,23.74,11.65,16.69,13.49,21.28,7.84,4.8,4.27,11.0,8.22,22.45,4.83,0
266.91,238.73,104.91,287.5,147.87,23.92,719.14,256.41,195.09,28.85,62.81,70.95,107.2,471.67,221.16,422.09,256.3,75.34,138.17,29.38,0
22.49,29.21,26.35,33.35,79.96,17.02,13.96,31.49,32.57,23.22,28.67,24.78,34.66,152.45,17.87,10.38,28.87,33.87,40.9,20.79,0
13.96,21.27,32.78,33.45,42.37,13.33,13.26,17.42,20.03,12.15,15.04,26.77,50.01,114.96,9.79,10.68,36.64,26.61,52.78,22.6,0
28.64,37.7,29.64,62.44,134.49,25.86,13.12,53.13,41.75,29.37,35.71,27.14,82.26,255.78,17.79,10.18,69.54,37.46,79.62,18.88,0
25.39,29.87,27.29,35.04,92.3,18.45,10.77,33.9,36.65,24.19,33.52,37.14,70.65,194.56,19.02,15.79,56.79,43.84,67.77,20.09,0
40.88,47.78,35.26,49.38,168.3,27.18,12.78,63.58,58.45,44.58,54.14,36.45,69.05,257.13,34.89,17.6,57.16,54.58,66.43,25.26,0
16.86,21.59,24.38,41.7,83.17,12.78,13.2,49.8,26.96,17.23,25.86,23.77,42.66,134.06,15.68,8.96,32.42,27.61,40.34,17.59,0
15.92,16.44,21.37,47.31,82.72,13.73,9.37,35.11,18.28,15.53,16.43,24.71,75.82,174.33,12.68,10.06,65.23,25.64,63.99,18.82,0
31.22,36.81,35.37,40.19,121.86,23.9,13.61,55.67,39.72,29.09,36.57,33.32,53.5,178.45,21.25,13.31,49.21,41.55,44.4,18.17,0
34.42,41.76,53.08,65.44,124.18,26.89,15.81,56.24,43.37,29.61,38.16,44.68,113.26,228.47,21.71,16.23,81.6,51.62,108.67,18.54,0
46.24,50.67,43.2,73.7,152.06,28.39,14.9,96.61,66.85,45.75,55.25,44.04,92.72,231.4,31.49,16.06,83.66,66.18,99.02,21.38,0
25.71,33.14,41.56,96.3,139.86,20.76,14.26,78.08,34.14,23.78,29.27,31.11,86.85,209.04,20.07,12.98,84.02,42.76,93.62,16.69,0
25.73,32.03,50.58,125.43,201.79,19.74,24.18,112.85,36.13,25.29,33.5,40.08,105.34,247.45,24.33,19.67,84.3,46.69,124.24,28.9,0
32.24,43.63,50.41,79.37,171.25,24.22,19.01,100.23,44.59,31.93,42.17,47.76,83.03,198.78,28.34,22.9,71.5,48.25,77.64,36.31,0
20.95,24.74,23.95,29.75,73.22,14.44,13.49,42.92,32.98,21.56,31.47,32.27,41.52,109.07,19.13,12.76,35.88,33.18,33.08,17.51,0
29.94,28.91,32.39,94.57,176.98,20.53,19.32,126.43,35.01,28.63,29.72,18.27,113.77,265.86,22.99,10.94,100.22,25.49,78.64,26.86,0
16.01,14.81,28.9,79.22,124.18,10.59,15.1,79.68,16.52,17.65,15.6,22.31,82.21,178.73,12.62,9.38,64.41,11.61,61.46,18.68,0
18.78,26.55,36.24,87.62,119.96,16.53,16.88,69.27,27.29,18.55,23.3,33.49,94.34,186.99,11.7,11.28,72.65,30.77,75.23,17.46,0
35.48,43.77,34.24,62.81,172.12,27.63,17.13,87.45,48.61,38.17,44.73,29.41,74.15,268.35,27.83,13.37,81.66,45.3,58.84,21.89,0
39.25,49.77,54.21,96.49,179.86,33.42,24.13,97.01,55.41,37.79,49.31,49.44,124.33,281.27,28.14,23.87,111.33,58.72,107.7,26.08,0
27.5,32.72,51.58,105.97,146.86,21.52,20.46,97.97,37.6,27.85,35.9,47.14,117.73,199.45,21.45,16.06,75.67,44.6,113.81,18.42,0
16.45,27.9,44.6,58.95,51.66,17.8,17.53,29.06,27.63,14.21,23.42,36.48,66.47,88.11,12.65,13.2,39.98,38.94,90.3,14.55,0
13.04,22.21,29.87,45.09,61.14,11.85,8.97,26.88,23.65,11.61,19.3,20.96,37.2,103.44,8.93,6.76,20.23,30.79,58.3,15.74,0
20.87,23.93,30.39,66.66,118.08,13.88,10.88,50.86,29.48,18.72,26.03,26.33,53.57,157.87,15.16,8.58,36.04,30.43,71.5,15.53,0
34.57,45.01,40.16,65.35,112.85,22.29,14.24,57.31,55.3,35.78,47.28,32.27,72.24,203.8,23.99,12.92,53.05,52.66,99.19,19.82,0
23.47,30.75,37.06,52.47,68.49,15.26,12.46,45.62,36.8,24.35,36.14,43.66,82.38,138.16,21.63,17.97,64.16,40.84,72.92,20.4,0
23.88,32.39,29.99,25.11,82.51,22.87,11.14,27.62,33.64,20.63,31.69,38.37,68.7,199.69,20.95,19.67,66.18,40.72,40.5,18.62,0
32.47,38.63,36.13,55.48,107.64,24.65,15.84,65.83,44.37,35.0,40.45,38.82,69.94,163.87,26.59,14.07,53.15,47.28,53.52,24.99,0
22.2,23.09,23.12,64.71,138.89,13.54,9.64,70.92,27.28,24.05,26.29,23.25,65.15,166.25,20.74,12.02,48.4,24.76,61.32,21.59,0
29.15,35.54,35.17,57.63,161.13,20.92,13.94,58.99,40.6,28.35,36.6,35.68,89.53,242.87,25.68,21.48,68.89,41.44,72.72,28.92,0
25.61,25.12,24.8,52.67,121.02,13.35,7.77,79.71,36.12,30.19,35.91,32.37,55.82,185.47,28.12,15.68,50.15,40.23,51.11,19.63,0
20.12,29.88,45.73,62.6,72.37,17.77,14.29,36.0,30.46,18.92,25.52,29.66,67.92,141.16,14.22,9.15,47.74,34.31,73.11,16.66,0
19.48,21.17,28.72,46.17,87.0,16.82,14.21,41.21,24.18,17.26,21.09,27.77,66.13,150.57,13.39,10.87,61.5,29.51,50.41,23.25,0
23.25,28.43,43.26,86.41,140.43,18.46,15.48,72.69,32.18,24.86,30.59,42.27,93.89,194.73,23.54,14.43,63.84,39.6,88.95,24.28,0
